title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
"coyote tales,","stories adapted from assiniboine, skidi pawnee, and dakota legends",coyote steals the summer--coyote loses his dinner--coyote rescues the ring-girl--coyote conquers the iya,"['assiniboine indians', 'pawnee indians', 'dakota indians']","['coyote (legendary character)', 'adventure stories, american', 'dakota indians']",e,"{'assiniboine indians': 21, 'pawnee indians': 8, 'dakota indians': 3}"
a junior history of the american negro,a history of the negro in america concentrating on his contributions to the country and his long struggle for equal rights,v 1 discovery to the civil war -- v 2 the civil war to the civil rights war,['african americans'],"['african american historians', 'african-american abolitionists']",e,{'african americans': 173}
"stiff ears; animal folktales of the north american indian,","a collection of animal legends from the hopi, pawnee, chinook, chippewa, iroquois, and cherokee indians",stiff ears--a jump ahead--the porcupine snowball--the journey--why the buffalo lost a war--ruler of the air,"['indians of north america', 'animals']","['iroquois mythology', 'ojibwa mythology']",e,"{'indians of north america': 3, 'animals': 144}"
american immigrant autobiographies [microform],"""a collection of nearly 70 manuscript autobiographies held by the immigration history research center at the university of minnesota most of the authors were immigrants; however, some were first or second generation americans most of the autobiographies are in english the final 29 autobiographies are drawn from the finnish-american family history collection request by reel number""--the library of congress guide to the microform collections in the humanities and social sciences division, online version","pt 1 manuscript autobiographies from the immigration history research center, university of minnesota",['immigrants'],"['women immigrants', 'children of immigrants', ""travelers' writings, american""]",e,{'immigrants': 20}
report of surgical cases,"williams, an attending surgeon in cook co, illinois, and presumably an african american, briefly discusses three unusual problems",(from tp) an unusual case of molluscum fibrosum -- hernia of the bladder -- fibromatous pregnant uterus,['surgery'],"['african american surgeons', 'african americans in medicine', 'african american physicians', 'surgeons']",e,{'surgery': 5}
nobody knows my name : more notes of a native son,"essays discuss race relations, segregation, the role of the writer in society, and the work of andre gide, richard wright, and norman mailer","the discovery of what it means to be an american -- princes and powers -- fifth avenue, uptown: a letter from harlem -- east river, downtown: postscript to a letter from harlem -- a fly in the buttermilk -- nobody knows my name: a letter from the south -- faulkner and desegregation -- in search of a majority -- notes for a hypothetical novel -- the male prison -- the northern protestant -- alas, poor richard -- the black boy looks at the white boy",['african americans'],"[""slaves' writings, american"", 'american prose literature']",e,{'african americans': 178}
photos that made us history,"presents photographs (and their stories) that became almost as famous as the history-making events they depicted includes lincoln, nixon and krushchev, iwo jima, kent state, and others",v 1 from the civil war era to the atomic age -- v 2 from the cold war to the space age,['photography'],"['war photography', 'motion pictures and history', 'military museums']",e,{'photography': 26}
"records of the bureau of indian affairs part 1, central classified files, 1907-1939 [microform]","reproduces a variety of document types from selected bia field units: incoming and outgoing letters, reports, memoranda, minutes, petitions, leases, contracts, affidavits, applications, certificates, licenses, permits, bonds, wills, other legal documents, tables, circulars, accounting records, clippings, photographs, diagrams, and blueprints","series a indian delegations to washington (microfilm 21,665 : 25 reels) -- series b indian customs and social relations (microfilm 21,826 : 23 reels) -- series c indian health and medical affairs (microfilm 23,244 : 29 reels) -- series c indian health and medical affairs part 2, diseases (microfilm 23,110 : 12 reels) -- series d education part 1, general organization, regulations and types of schools (microfilm 23,055 : 12 reels) -- series d education part 2, correspondence and reports on reservation day and boarding schools (microfilm 23,241 : 28 reels) -- series d education part 2, correspondence and reports on reservation day and boarding schools, section b (microfilm 23,583 : 31 reels)","['indians of north america', 'indians of north america', 'indians of north america', 'indians of north america', 'indians of north america']","['indian removal, 1813-1903', 'indian reservations', 'pacific coast indians, wars with, 1847-1865']",e,{'indians of north america': 20}
the many sides of america : 1945 to the present,"the primary source readings in this book provide students with glimpses into the issues that have dominated postwar american history they consist of official documents, speeches by public figures, autobiographical recollections, newspaper columns, supreme court rulings, and congressional testimony each chapter has an introduction that focuses on the historical background of the documents to follow--pref","1945-1952: atomic age begins; united states develops a cold war ideology; race relations; domestic anticommunism -- 1953-1962: school desegregation; foreign policy; cultural homogeneity; civil rights; cuban missile crisis; organized public school prayer banned; college students mobilize -- 1963-1970: civil rights; war on poverty; vietnam; reemergence of feminism; counterculture; rise of consumer and environmental protection -- 1971-1980: president nixon's foreign policy; vietnam crisis continues; watergate; gender matters; camp david accords; environmental crises -- 1981-1990: origin of the ""reagan doctrine""; conservative social agenda; creationism vs evolutionism, the arkansas case; affirmative action; iran-contra hearings; aids crisis; legalization of drugs, pro and con -- 1991-1994: gulf war; savings and loan crisis; sexual harassment goes public; housing and homelessness; culture wars; welfare reform; elections of 1994",['college readers'],"['new deal, 1933-1939', 'politics and war']",e,{'college readers': 447}
the encyclopedia of north american indians,a comprehensive reference work on the culture and history of native americans,"v 1 abenaki-baskets -- v 2 beadwork and beadworkers-cherokee phoenix -- v 3 cheyenne-delaware -- v 4 deloria, ella-general allotment act -- v 5 georgia-inuit -- v 6 iowa indians-mcintosh, william -- v 7 mcnickle, d'arcy-ojibwe -- v 8 ojibwe literature, contemporary-rosebud reservation -- v 9 ross, john-trail of broken treaties -- v 10 trail of tears-zuni -- v 11 appendices and indexes",['indians of north america'],"['indians of north america', 'indians of north america--wars--1866-1895', 'iroquois indians']",e,{'indians of north america': 1}
the complete history of our presidents,"discusses the political lives and times of the men who served as united states presidents, their administrations, and the events which occurred during their tenures","v 1 washington, adams, and jefferson -- v 2 madison, monroe, and adams -- v 3 jackson, van buren, harrison, tyler, and polk -- v 4 taylor, fillmore, pierce, and buchanan -- v 5 lincoln, johnson, and grant -- v 6 hayes, garfield, arthur, and cleveland -- v 7 harrison, cleveland, mckinley, and roosevelt -- v 8 taft, wilson, harding, and coolidge -- v 9 hoover, roosevelt, and truman -- v 10 eisenhower, kennedy, and johnson -- v 11 nixon, ford, and carter -- v 12 reagan, bush, and clinton -- v 13 series index",['presidents'],"['presidents', 'vice-presidents', 'ex-presidents']",e,{'presidents': 1}
"the house that race built : black americans, us terrain","original essays by toni morrison, angela y davis, cornel west, and others on black americans and politics in america today","introduction / wahneema lubiano -- home / toni morrison -- the liberal retreat from race during the post-civil rights era / stephen steinberg -- white workers, new democrats and affirmative action / david roediger -- tales of two judges : joyce karlin in people v soon ja du; lance ito in people v oj simpson / neil gotanda -- racial dualism at century's end / howard winant -- ""ain't nothing like the real thing"": black masculinity, gay sexuality, and the jargon of authenticity / kendall thomas -- living at the crossroads: explorations in race, nationality, sexuality, and gender / rhonda m williams -- rethinking vernacular culture: black religion and race records in the 1920s and 1930s / evelyn brooks higginbotham -- what is black culture? / david lionel smith -- playing for keeps: pleasure and profit on the postindustrial playground / robin dg kelley -- black nationalism and black common sense: policing ourselves and others / wahneema lubiano -- the ethnic scarring of american whiteness / patricia j williams -- race and criminalizaiton: black americans and the punishment industry / angela y davis -- color blindness, history, and the law / kimberlé wiliams crenshaw -- subjects in history: making diasporic identities / stuart hall -- afterword / cornel west","['racism', 'african americans']","['african american men in popular culture', 'african americans in mass media']",e,"{'racism': 169, 'african americans': 74}"
major problems in mexican american history : documents and essays,"[tofc cont] struggle and strife, social conditions of mexican americans, 1910-1917: reverend pedro grado addresses el congreso mexicanista, 1911; mexican immigrant women in el paso, texas / mt garcia -- mexican immigrant experience, 1917-1928: anita edgar jones surveys mexican life in chicago, 1928; mexican immigrants in the midwest / z vargas -- mexican americans in the great depression, 1929-1941 -- mexican americans and world war ii, 1941-1945 -- mexican americans in the cold war years, 1945-1960 -- struggle for chicano power, 1965-1974 -- gaining of power, chicano political empowerment, 1964-1980 -- chicano experience in contemporary america "" documents the presence of the largest spanish-speaking latino subgroup in the united states while it marks its contributions to the nation's life the primary aim of this volume is to illustrate the chicano experience from as many vantage points as possible, and with as many chicano views as possible the documents and essays gathered [in this book] invite readers to see chicanos in their everyday life and in their organizational life""--pref","interpreting the chicano past: alternative approaches to chicano history / gg gonzalez and r fernandez; recent approaches to chicano history / am saragoza -- precolonial period: pueblo indians call for war, 1680; cultural roots of ancient southwest indians / cg velez-ibanez; sexual violence and the politics of conquest in alta california / ai castaneda -- early mexicano communities on the northern frontier, the spanish colonial period to 1821: bishop pedro tamaron y romeral visits new mexico, 1760; gender, race, and culture in the history of the california frontier / ai castaneda -- early mexicano life and society in the southwest, 1821-1846: joshua gregg paints a picture of la tules; creating the myth of the alamo / hb brear -- mexican americans after the mexican war, 1848-1860: john rollin ridge reflects on the life of joaquin murieta, 1850; origins of nativism in california / l pitt -- conflict and community among mexican americans in the southwest, late nineteenth and early twentieth centuries: gregorio cortez is immortalized in song, 1901; unmarried women of santa fe, 1850-1880 / dj gonzalez [cont in annot]","['mexican americans', 'mexican americans']","['chicano movement', 'indians of mexico', 'hispanic americans in popular culture']",e,{'mexican americans': 29}
microfilm edition of the papers of henry lewis stimson (not including the diaries) in the yale university library [microform],"correspondence, speeches and writings, memoranda, minutes of meetings, notes on conversations and interviews, special subject files, selected state dept documents, and other papers relating to stimson's interests and activities in a long life of public service, including his new york law practice, his service as us attorney in new york (1906-1909), secretary of war under william howard taft (1911-1913), governor-general of the philippines (1927-1929), secretary of state under herbert hoover (1929-1933), and secretary of war under franklin d roosevelt and harry truman (1940-1945)","reels 1-125 series i, general correspondence -- reels 126-128 series ii, memoranda, minutes of meetings, notes on conversations and interviews, and miscellaneous papers -- reels 129-136 series iii, speeches, writings, and other public statements -- reels 137-146 series iv, special subjects -- reels 147-159 series v, family correspondence and other family papers -- reels 160-166 series vi, selected documents of the state department -- reels 167-169 miscellany","['statesmen', 'world war, 1939-1945']","['new deal, 1933-1939', 'cabinet officers']",e,"{'statesmen': 47, 'world war, 1939-1945': 18}"
gale encyclopedia of multicultural america,"essays on approximately 150 culture groups of the us, from acadians to yupiats, covering their history, acculturation and assimilation, family and community dynamics, language and religion",v 1 acadians-garifuna americans -- v 2 georgian americans-ojibwa -- v 3 oneidas-yupiat,"['cultural pluralism', 'ethnology', 'minorities']","['mississippian culture', 'chiricahua indians', 'cherokee women', 'ethnic groups']",e,"{'cultural pluralism': 24, 'ethnology': 215, 'minorities': 153}"
"seneca chief, army general : a story about ely parker","biography of the seneca indian who helped save his people's land, was elected a sachem, served in the union army, became a general, and was named commissioner of indian affairs",the broken rainbow -- a new world -- citizen of two worlds -- engineer and sachem -- the white man's war -- an indian general,"['seneca indians', 'generals', 'indians of north america']","['seneca indians', 'indians of north america--wars--1866-1895', 'iroquois indians']",e,"{'seneca indians': 1, 'generals': 102, 'indians of north america': 11}"
the comanche,"a history of this indian tribe of the southern plains and a description of their customs, religion, relationship with other tribes, and twentieth-century changes to their traditional way of life",1 the comanche and the southern plains -- 2 traditional life -- 3 religion -- 4 the comanches and the tribes of the southern plains -- 5 war and conflict -- 6 lost land and damaged pride,['comanche indians'],"['comanche indians', 'indians of north america--wars--1866-1895', 'oneota indians (great plains)']",e,{'comanche indians': 1}
robert e lee,"reviews the military career of the man who, at the start of the civil war, refused an offer to take command of all union armies and, instead, became a hero of the confederacy","machine generated contents note: preface: the civil war 4 --introduction: ""the wrong train"" 8 --chapter 1 the reluctant soldier 11 --chapter 2 turning the tide 31 --chapter 3 back on the defensive 49 --chapter 4 the south's great gamble 57 --chapter 5 putting off the inevitable 83 postcript 96 --glossary 101 --for more information 102 --index 103",['generals'],"[""sherman's march through the carolinas"", 'shenandoah valley campaign, 1864 (may-august)', 'shenandoah valley campaign, 1864 (august-november)']",e,{'generals': 27}
henry hudson and his voyages of exploration in world history,"examines the life and career of henry hudson, tracing his voyages in the arctic and north america and his discovery of the hudson river and other bodies of water during his unsuccessful search for a northwest passage to asia","machine generated contents note: 1 a wide, wide river 2 who was henry hudson? 3 the world of henry hudson 4 is it really warm at the north pole? 5 whales and walrus beware! 6 the dutch east india company to the rescue 7 westward ho! 8 feathers and furs 9 the last voyage 10 mutiny in a winter wonderland 11 the legacy timeline","['explorers', 'explorers']","['overland journeys to the pacific', 'voyages around the world']",e,{'explorers': 30}
primary sources,"examines native american beliefs, culture, and relationships with white men since colonial times through documents written by men and women of various tribes",ch 1 native american beliefs and culture -- ch 2 early encounters between native americans and whites -- ch 3 us expansion and indian removal -- ch 4 broken treaties and war -- ch 5 the native american experience since 1900,['indians of north america'],"['indians of north america--wars--1866-1895', 'indians of north america', 'pacific coast indians, wars with, 1847-1865']",e,{'indians of north america': 2}
the inuit,"presents a history of native american people of the arctic, describes their adaptation to a severe environment, and explores their way of life before and after the arrival of the white man",who are the inuit? -- surviving in a harsh land -- hunters of the far north -- family and community -- religion and ritual -- the coming of the white man -- entering the 21st century,['inuit'],"['inuit', 'inuit art']",e,{'inuit': 1}
calvin coolidge,"discusses the personal life and political career of the man who became the thirtieth president of the united states in 1923 upon the death of president harding includes internet links to web sites, source documents, and photographs related to coolidge","1 oath of office, august 1923 -- 2 early years, 1872-1897 -- 3 massachusetts politics, 1898-1920 -- 4 washington, 1920-1924 -- 5 elected president, 1925-1929 -- 6 retirement, 1929-1933",['presidents'],"['new deal, 1933-1939', 'depressions, 1929']",e,{'presidents': 3}
william mckinley,"includes internet links to web sites, source documents, and photographs related to william mckinley","1 ""don't let them hurt him"" -- 2 early years, 1843-1861 -- 3 civil war soldier to lawyer, 1861-1867 -- 4 lawyer and politician, 1867-1897 -- 5 mckinley's first administration, 1897-1901 -- 6 second term and tragic death, 1901",['presidents'],"['reconstruction (us history, 1865-1877)', 'black hills war, 1876-1877', 'indians of north america--wars--1866-1895', 'spanish-american war, 1898']",e,{'presidents': 5}
rutherford b hayes,"examines the life and career of the civil war general and ohio politician who became the nineteenth president of the united states includes internet links to web sites, source documents, and photographs related to rutherford b hayes","struggle for survival, september 1862 -- formative years, 1822-1845 -- new ambitions, 1850-1876 -- disputed election, 1876-1877 -- a loyal american, 1877-1880",['presidents'],"['reconstruction (us history, 1865-1877)', 'railroad strike, us, 1877']",e,{'presidents': 19}
john quincy adams,"discusses the personal life and political career of the son of the second president of the united states, who became the sixth president includes internet links to web sites, source documents, and photographs related to john quincy adams","1 ""old man eloquent"" -- 2 early years, 1767-1790 -- 3 lawyer, diplomat, and senator, 1790-1817 -- 4 secretary of state, 1817-1825 -- 5 america's sixth president, 1825-1829 -- 6 later years in congress, 1830-1848",['presidents'],"['children of presidents', ""presidents' spouses""]",e,{'presidents': 4}
de soto : hernando de soto explores the southeast,"a biography of the sixteenth-century spaniard who explored florida and other southern states, and became the first white man to cross the mississippi river",growing up with a dream -- off to the americas -- the conquest of peru -- an empire of his own -- the last adventure,"['explorers', 'explorers']","['indians of central america', 'indians of south america', ""travelers' writings, american""]",e,{'explorers': 71}
ponce de león : juan ponce de león searches for the fountain of youth,"a biography of the spanish explorer who first came to the new world with columbus, went on to become governer of puerto rico, and later came to florida looking for the fountain of youth",growing up in castile -- off to the americans -- life in hispaniola -- settling down in puerto rico -- exploring florida -- one last voyage,"['explorers', 'explorers']","['voyages around the world', 'voyages and travels', 'missions, spanish', ""travelers' writings, american""]",e,{'explorers': 15}
george washington,"a biography of george washington from his boyhood in virginia, through his work as a land surveyor, planter, soldier, and as the president who set a high standard for all who would follow",a leader in war and peace -- the young soldier -- planter and politician -- the commander in chief -- creating a government -- the first president -- reaching the end,['presidents'],"['founding fathers of the united states', 'reconstruction (us history, 1865-1877)', 'history, military']",e,{'presidents': 7}
franklin d roosevelt,"a biography of the wheelchair-bound president who optimistically led the united states through more than a decade of economic, social, and political problems",a president with hope -- childhood riches -- stepping into politics -- the great depression -- a new deal -- world at war -- making a difference,['presidents'],"['new deal, 1933-1939', 'presidents', 'presidential candidates', 'depressions, 1929']",e,{'presidents': 2}
thomas jefferson,"discusses the personal life and political career of the author of the declaration of independence, who became the third president of the united states",inventing america -- the early years -- revolutionary times -- an american in paris -- party politics -- the third president -- the second time around -- jefferson still lives!,['presidents'],"['founding fathers of the united states', 'constitutional history']",e,{'presidents': 4}
the louisiana purchase,"looks at the political and economic history of the region between the mississippi river and the rocky mountains which, when purchased by jefferson in 1803, doubled the size of the united states and led the way to further expansion",a vast frontier -- spanish louisiana -- fighting for the river -- two treaties -- napoléon's dream -- jefferson's dream -- warning of war -- a great bargain -- a great nation,['louisiana purchase'],"['louisiana purchase', 'trail of tears, 1838-1839', 'reconstruction (us history, 1865-1877)', 'seminole war, 2nd, 1835-1842']",e,{'louisiana purchase': 1}
william jefferson clinton,"discusses the life and accomplishments of the democrat who was elected president to two successive terms, 1992 and 1996",the new democrat -- the early years -- off to washington -- arkansas politics -- a new generation -- the second time around -- grateful to serve,['presidents'],"['presidential candidates', 'whitewater inquiry, 1993-2000', 'vice-presidential candidates']",e,{'presidents': 4}
alexander hamilton : federalist and founding father,"surveys the life of alexander hamilton, a founding father, later becoming the first secretary of the treasury",machine generated contents note: 1 a little-known founding father --2 island beginnings --3 an american education --4 fighting for independence --5 peacetime pursuits --6 fighting for a new government --7 secretary of the treasury --8 struggle in the cabinet --9 politics turn deadly --10 hamilton's legacy,['statesmen'],"['founding fathers of the united states', 'burr conspiracy, 1805-1807', 'burr-hamilton duel, weehawken, nj, 1804']",e,{'statesmen': 24}
the hopi,"provides an overview of the past and present lives of the hopi, covering their daily life, customs and beliefs, government, and more","fast facts -- hopi history -- homes, food, and clothing -- clans -- the hopi family -- farming -- religion -- how the hopi reached this world -- hopi government -- hands on: hopi language",['hopi indians'],"['hopi indians', 'hopi art', 'indians of north america', 'potawatomi indians']",e,{'hopi indians': 1}
abraham lincoln,"profiles the sixteenth president of the united states, whose life and accomplishments were founded on his firm commitment to the words of the declaration of independence","a simple, poor beginning -- entering politics -- from springfield to washington -- preparing for the presidency -- for the union -- commander in chief -- the great emancipator -- countdown to destiny -- destiny",['presidents'],"['founding fathers of the united states', 'reconstruction (us history, 1865-1877)', 'lincoln day addresses', 'african-american abolitionists']",e,{'presidents': 22}
the choctaw,"discusses the history, culture, social structure, beliefs, and notable people of the choctaw",origins -- towns -- lifeways -- beliefs -- changing world -- new ways -- more about the choctaw,"['choctaw indians', 'choctaw indians']","['choctaw indians', 'iroquois mythology', 'mississippian culture']",e,{'choctaw indians': 1}
james longstreet,"discusses the life and career of james longstreet, confederate general and trusted adviser to robert e lee",old pete -- the soldier's life -- the road to war -- the war's early years -- the final battles -- soldier to scalawag,['generals'],"['appomattox campaign, 1865', ""sherman's march through the carolinas""]",e,{'generals': 53}
harry s truman,"discusses the private life and political career of harry s truman, who served as president from 1945 to 1953","when lightning struck -- fields of dreams -- finding his way -- when harry met bessie -- called to duty -- captain harry -- escaping the shadow -- president truman -- trouble on the home front -- president truman, the second time around -- taking charge, truman style -- so long, harry -- independence days -- timeline",['presidents'],"['korean war, 1950-1953', 'world war, 1939-1945', 'pearl harbor (hawaii), attack on, 1941', 'history, military']",e,{'presidents': 20}
liberty or death : a story about patrick henry,"a biography of the virginia lawyer, politician, and patriot whose great powers of speech helped inspire colonists to support the cause of american liberty at the start of the revolutionary war",backwoods boyhood -- country lawyer -- if this be treason -- the colonists unite -- give my liberty -- war -- a new nation -- descriptions of patrick henry,['legislators'],"[""lord dunmore's war, 1774"", 'liberty', 'concord, battle of, concord, mass, 1775', 'boston tea party, boston, mass, 1773']",e,{'legislators': 179}
"tecumseh, 1768-1813",a biography of the shawnee leader who united a confederacy of indians in an effort to save indian land from the advance of white soldiers and settlers,a vision of unity -- panther across the sky -- growing up in shawnee -- the rise and fall of tippecanoe -- joining the british -- death on the thames,"['shawnee indians', 'shawnee indians']","['shawnee indians', 'indians of north america--wars--1866-1895']",e,{'shawnee indians': 1}
the chinese americans,discusses the reasons for emigration from china to mainland united states and hawaii as well as the social and economic problems experienced by the chinese americans,immigration begins from imperial china -- the journey -- finding work -- forming communities -- working and forming communities in hawaii -- a turning point -- living in two worlds -- changing patterns,"['chinese americans', 'chinese americans']","['emigration and immigration', 'chinese american women']",e,{'chinese americans': 3}
john charles frémont : the pathfinder,a brief biography of the man who helped open the way west to california and was later elected as a united states senator from that state,early life -- first explorations -- mapping the oregon trail -- the second expedition -- the pathfinder -- the third expedition -- the bear flag revolt -- railroad surveys -- frémont's gold -- cities from ashes,"['explorers', 'explorers', 'generals', 'presidential candidates']","['pacific coast indians, wars with, 1847-1865', 'fremont culture', 'frontier and pioneer life', 'frontier and pioneer life in literature']",e,"{'explorers': 44, 'generals': 569, 'presidential candidates': 183}"
apache warriors,"based partly on excerpts from the autobiography of geronimo, describes life as an apache, growing up with apache values, rituals to become a warrior, and the obligations and rules of conduct in war",growing up apache -- becoming a warrior -- a warrior's days -- going to war,"['apache indians', 'apache indians']","['apache indians', 'iroquois mythology']",e,{'apache indians': 1}
"growing up in a new century, 1890 to 1914",presents details of daily life of american children during the period from 1890 to 1914,the children's hour -- no place like home -- all in a day's work -- the school bell rings -- just for fun -- betwixt twelve and twenty,"['children', 'children']","['nineteen hundreds (decade)', 'nineteen twenties']",e,{'children': 36}
an apache indian community,"introduces the history, beliefs, social interaction, and festivals of modern-day apache indians, as experienced by descendants of the warrior, geronimo, and their friends",clay geronimo -- clay's home and animals -- eva geronimo -- robert geronimo -- apache ways: alive and strong -- apache dances -- dance of the mountain gods -- an apache medicine woman -- prayers and food -- the future of the apache,"['apache indians', 'apache indians']","['apache indians', 'iroquois mythology']",e,{'apache indians': 1}
the story of sitting bull,"introduces the hunkpapa leader, sitting bull, including his childhood, war with the united states over land, life on a reservation, touring with buffalo bill, and death",sitting bull -- growing up sioux -- the united states wants sioux land -- to the reservations -- on the move - the sioux begin to starve -- the wild west show -- hope remains -- a fight to the end -- a strong man,"['dakota indians', 'hunkpapa indians']","['frontier and pioneer life in literature', 'bull run, 2nd battle of, va, 1862', 'coyote (legendary character)']",e,"{'dakota indians': 58, 'hunkpapa indians': 5}"
"osceola, 1804-1838","discusses the life of seminole warrior osceola, from his childhood in an upper creek village to his involvement in the second seminole war, capture, and death",forced to leave -- life in an creek village -- growing up seminole -- finding peace -- a war leader -- under a flag of truce,"['seminole indians', 'seminole indians']","['seminole war, 2nd, 1835-1842', 'seminole indians']",e,{'seminole indians': 2}
