title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
"tragic cavalier : governor manuel salcedo of texas, 1808-1813","defense of the spanish borderlands in the early nineteenth century was a lost cause official neglect, expansionist pressures from the mississippi valley, and insurgency threatening from south of the rio grande all but guaranteed that these years would be the twilight of spanish rule in the region in the face of unrest, decline, and collapse, governor manuel maria de salcedo carried the bourbon standard in texas until the appearance of this now classic work by felix d almaraz, jr, both the general history of the spanish borderlands in this period and the specific role of governor salcedo had received little scholarly attention based on letters and documents in the bexar archives, tragic cavalier offers a historical account of the mexican independence movement in texas interpreted from the spanish perspective since its initial publication in 1971, this study has evoked much constructive criticism and commentary now graced with new chapter drawings by renowned artist jose cisneros, this new edition will continue to inform researchers and students of history on the waning years of the hispanic frontier","ch 1 hispanic texas at the beginning of the nineteenth century: a survey -- ch 2 salcedo's initial year in texas: a division of authority -- ch 3 salcedo's stewardship on the eve of the mexican revolution -- ch 4 social conditions in hispanic texas, 1808-1810 -- ch 5 impact of the hidalgo revolt upon hispanic texas -- ch 6 the collapse of salcedo's rule -- ch 7 hispanic texas after salcedo",['governors'],"['mexican war, 1846-1848', 'regulator-moderator war, tex, 1839-1844', 'spanish american literature']",f,{'governors': 90}
tuscarawas county original death records,each vol contains a photocopy of one of the original three volumes of handwritten death records for tuscarawas county for 1867 to 1905 (which had been considered lost) followed by a new index,v 1 1867-1884 -- v 2 1884-1895 -- v 3 1895-1908,"['registers of births, etc']","['registers of births, etc', ""haun's mill massacre, mo, 1838""]",f,"{'registers of births, etc': 1}"
texans of valor : military heroes in the 20th century,a collection of biographies of native-born texans who performed heroic activity while serving in the military within the twentieth century,machine generated contents note: world war i -- john thomason -- samuel sampler -- heroes in action -- world war ii -- oveta gulp hobby -- james e rudder -- doris miller -- lucian k truscott -- audie murphy -- eisenhower and nimitz -- dwight d eisenhower -- chester w nimitz -- hattie brantley -- william bordelon -- samuel dealey -- wallace fields -- cleto rodriguez -- heroes in action -- korean war -- george davis -- george h o'brien -- heroes in action -- vietnam war -- roy benevidez -- sam johnson -- heroes in action -- congressional medal of honor,"['heroes', 'soldiers']","['mexican american soldiers', ""soldiers' writings, american"", 'chaco war, 1932-1935', 'children of military personnel']",f,"{'heroes': 102, 'soldiers': 20}"
shays' rebellion and the constitution in american history,describes the attempted revolt of massachusetts farmers and yeomen which revealed the instability of the articles of confederation and the need for a stronger constitution,machine generated contents note: 1 a violent uprising --2 life after the revolution --3 petitions and protest --4 armed rebellion --5 the impact of shays' rebellion --timeline,"[""shays' rebellion, 1786-1787"", ""shays' rebellion, 1786-1787"", 'constitutional history']","[""shays' rebellion, 1786-1787""]",f,"{""shays' rebellion, 1786-1787"": 1, 'constitutional history': 5}"
davy crockett : a photo-illustrated biography,a brief biography of the frontiersman and statesman from tennessee who died at the alamo,king of the wild frontier -- childhood -- growing up -- a new family -- life changes -- crockett in congress -- texas bound -- remember the alamo -- a legendary life -- fast facts about davy crockett -- dates in davy crockett's life -- words to know,"['pioneers', 'legislators']","['goliad massacre, goliad, tex, 1836', 'frontier and pioneer life']",f,"{'pioneers': 37, 'legislators': 332}"
the gold rush,"portrays life in california from the discovery of gold in 1848 through the chaos of the next two years, as tens of thousands of men and hundreds of women arrived from around the world to seek their fortunes",rushing to california -- life in a mining camp -- life in a boom town -- law and order,['frontier and pioneer life'],"['gold mines and mining', 'frontier and pioneer life in literature', 'coal mines and mining in literature', 'mexican war, 1846-1848']",f,{'frontier and pioneer life': 5}
the story of sacagawea,"introduces the life of shoshoni sacagawea, from early childhood through her days guiding the lewis and clark expedition through the american wilderness, and speculates on her life after that adventure",life with the shoshone -- the hidatsa village -- sacagawea's marriage -- lewis and clark -- sacagawea's journey -- sacagawea's bravery -- meeting family -- what happened to sacagawea? -- shoshone history -- always remembered,['shoshoni women'],"['shoshoni indians', 'shoshoni women']",f,{'shoshoni women': 2}
the march from selma to montgomery : african americans demand the vote,"depicts the repeated efforts of civil rights advocates to march from selma, alabama, to montgomery, only to be interrupted by national guardsmen",the right to vote -- police attack protestors -- a bloody sunday -- nationwide support -- turn-around tuesday -- changing times -- crossing the bridge -- the long march -- arriving in montgomery -- walking toward freedom,"['african americans', 'african americans', 'civil rights movements']","['civil rights demonstrations', 'montgomery bus boycott, montgomery, ala, 1955-1956', 'antislavery movements']",f,"{'african americans': 110, 'civil rights movements': 4}"
mammoth cave : the world's longest cave system,details the formation of the mammoth cave system of kentucky and describes the natural wonders,under kentucky soil -- shaped by water -- long avenues and deep pits -- beautiful underground shapes -- miners of the past -- cave life -- early tour guides -- protecting the cave -- visitors to the cave -- out in the sunlight,['natural history'],"['excavations (archaeology)', 'archaeological surveying']",f,{'natural history': 11}
townspeople and ranchers of the california mission frontier,describes the daily life of townspeople and ranchers at early california missions,the california frontier -- learning from oral history -- who were the townspeople and ranchers? -- how were towns and ranches organized and built? -- government -- daily life of a frontiersman -- the lives of the women settlers -- growing up on the frontier -- entertainment -- frontier religion -- the californio heritage,"['missions, spanish', 'city and town life', 'ranch life', 'pioneers']","['frontier and pioneer life', 'frontier and pioneer life in literature']",f,"{'missions, spanish': 15, 'city and town life': 27, 'ranch life': 3, 'pioneers': 13}"
daniel boone : frontier scout,"describes the life of daniel boone, including his exploration of kentucky, his interaction with various indian tribes, and his role in the westward expansion of the american frontier",early years -- the call to kentucky -- taming kentucky -- letting go of kentucky -- after kentucky,"['pioneers', 'explorers', 'frontier and pioneer life']","['frontier and pioneer life', 'frontier and pioneer life in literature', ""pioneers' spouses""]",f,"{'pioneers': 10, 'explorers': 43, 'frontier and pioneer life': 1}"
zebulon pike : soldier and explorer,"an account of zebulon pike and his explorations in the northwest and west, including his activities in mexico on behalf of general james wilkinson and his role in the war of 1812",an explorer's life -- early life -- the mississippi valley expedition -- the southwest expedition -- the death of a general,"['explorers', 'soldiers']","['frontier and pioneer life', 'frontier and pioneer life in literature', 'creek war, 1813-1814']",f,"{'explorers': 4, 'soldiers': 303}"
"sacagawea, 1788-1812","a biography of sacagawea, the shoshoni who was an interpreter on the lewis and clark expedition, including her childhood in a shoshoni village, capture by hidatsas, and reunion with her brother includes sidebars, activities, a chronology, and a map",an important rescue -- capture on the jefferson river -- living with the hidatsa -- traveling west -- reunited with cameahawait -- end of the journey,"['shoshoni women', 'shoshoni indians']","['shoshoni indians', 'women pioneers', 'iroquois indians']",f,"{'shoshoni women': 5, 'shoshoni indians': 1}"
life in a california mission,"discusses the history of california missions, their dual purpose of converting people to catholicism and consolidating spanish territory, and the daily life of friars and natives",founding the missions -- the making of a missionary -- recruiting converts -- daily life of the mission indians -- daily life of the friars -- daily life of the gente de razón,"['missions, spanish', 'indians of north america']","['missions, spanish', 'spanish mission buildings', 'franciscans']",f,"{'missions, spanish': 1, 'indians of north america': 74}"
the opening of the west,"presents the history of the westward expansion of the united states in the eighteenth and nineteenth centuries through excerpts from letters, newspaper articles, journal entries, and laws of the time",the frontier -- the explorers -- mountain men and miners -- the overland trails -- women and children in the west -- living and working on the land -- building the new west -- the fate of the native americans,"['pioneers', 'pioneers', 'frontier and pioneer life', 'frontier and pioneer life']","['frontier and pioneer life', 'frontier and pioneer life in literature', 'reconstruction (us history, 1865-1877)']",f,"{'pioneers': 12, 'frontier and pioneer life': 1}"
the statue of liberty,"traces the history of the united states' symbol of freedom, the statue of liberty, from its conception and design, through the fund-raising and construction, to its dedication in 1886",the face of liberty -- where freedom radiates -- the new colossus -- my daughter is here! -- the symbol of america -- chronology -- glossary,"['statue of liberty (new york, ny)']","['statue of liberty (new york, ny)', 'statue of liberty (new york, ny) in art', 'liberty in art']",f,"{'statue of liberty (new york, ny)': 1}"
outrageous women of the american frontier,biographies of some outspoken and influential women who lived in the american west from the late eighteenth through the early twentieth century,"sacagawea -- gertrudis barcelo -- narcissa whitman -- juana briones -- luzena stanley wilson -- eliza snow -- bridget ""biddy"" mason -- charlie parkhurst -- martha ""calamity jane"" cannary -- ""stagecoach"" mary fields -- -- sarah winnemucca hopkins -- libbie custer -- nellie cashman -- evelyn cameron","['women pioneers', 'frontier and pioneer life']","['women pioneers', 'frontier and pioneer life in literature']",f,"{'women pioneers': 1, 'frontier and pioneer life': 5}"
west virginia : a portrait of an american state,this book is intended to help students reinforce their strong cultural values while at the same time encouraging them to continue looking to their future -to the students,"west virginia, my home -- land of west virginia -- early west virginia -- pioneer life -- state of west virginia -- west virginia's resources -- business and industry -- education in west virginia -- government in west virginia -- wanderin' through west virginia -- west virginia's people -- appendices: west virginia vital statistics; west virginia counties; governors of west virginia -- glossary",['west virginia'],"['west virginia', 'appalachians (people)', 'frontier and pioneer life']",f,{'west virginia': 1}
"preserving virginia's archaeology [electronic resource] : historic research by the virginia department of transportation and the william and mary center for archaeological research, 1988-2000",reports on historic archaeological studies conducted in virginia under the auspices of vdot and the william and mary center for archaeological research,"an eighteenth-century tenant site in the lower tidewater : phase iii data recovery at site 44sk309, associated with the route 164 project, city of suffolk, virginia / author, joe b jones, [et al] -- the civil war at gloucester point : mitigation of site 44gl358 associated with the proposed route 17 coleman bridge project, gloucester county, virginia / author, thomas f higgins iii [et al] -- farm to foundry : african-american tenancy in twentieth-century radford, virginia : phase iii data recovery at site 44my463 associated with the route 611 project, city of radford, virginia / author, jane peterson, [et al] -- watsons, willises, and dedakers : the evoluation of a nineteenth-century farm in piedmont, virginia : phase iii archaeological data recovery for mitigation of adverse affects to site 44ah277, associated with the route 29 lynchburg bypass project, amherst county, virginia / author, stevan c pullins, charles m downing -- a post revolutionary farmstead in northern virginia : archaeological data recovery at site 44fx1965, associated with the proposed interstate 66 and route 28 improvements project, fairfax county, virginia \ authors, thomas f higgins iii, [et al] -- an archaeological evaluation of site 44fk533 proposed winchester area headquarters project, frederick county, virginia \ author, joe b jones -- the moore hoff farm : life and landscape on a virginia farmstead at the turn of the nineteenth century : archaeological data recovery at site 44pw600, associated with the route 234 wetlands mitigation project, prince william county, virginia / authors, stevan c pullins, charles m downing ; with contributions by deborah l davenport, susan trevarthen andrews -- traces of historic kecoughtan : archaeology at a seventeenth-century plantation : data recovery at site 44ht44 associated with the proposed pentran bus parking lot project, city of hampton, virginia / authors, thomas f higgins iii, charles m downing, donald w linebaugh ; with contributions by gregory j brown [et al]",['excavations (archaeology)'],"['urban archaeology', 'archaeological surveying']",f,{'excavations (archaeology)': 4}
heritage books archives pilgrims and plymouth [electronic resource],"contains six historical works on the pilgrims of new england and the records of the town of plymouth, mass the histories cover the development of the pilgrims, their persecution, and emigration first to holland, then to the settlement in plymouth, mass also included are biographical sketches of the more well-known pilgrims, including robert browne, william brewster, and william bradford","the story of the pilgrims / by morton dexter -- the pilgrim fathers of new england: a history / by w carlos martyn -- pilgrim fathers of new england / by john brown -- records of the town of plymouth, 1636-1783 / by wm t davis, et al -- genealogical register of plymouth families / by william t davis -- the pilgrims / frederick a noble",['pilgrims (new plymouth colony)'],"['pilgrims (new plymouth colony)', 'pilgrims and pilgrimages', 'mormon pioneers', 'quaker abolitionists']",f,{'pilgrims (new plymouth colony)': 1}
"the mormon pioneer trail : from nauvoo, illinois to the great salt lake, utah",the story of the mormon trail and the migration of mormons to their new settlement at salt lake city,the need for a better life -- the mormon pioneer trail -- on their way -- life on the trail -- the trail today,"['mormon pioneers', 'frontier and pioneer life']","['mormon pioneers', 'frontier and pioneer life']",f,"{'mormon pioneers': 1, 'frontier and pioneer life': 2}"
the capture of new orleans : union fleet takes control of the lower mississippi river,describes the union victory at new orleans during the civil war,the united states fights a civil war -- the union and confederacy navies -- president lincoln calls for a blockade -- david g farragut joins the union navy -- a union fleet sails to new orleans -- the union captures new orleans -- union troops take control of new orleans -- african americans join the union army -- louisiana's native guard joins the union -- the confederacy suffers without new orleans,['new orleans (la)'],"['reconstruction (us history, 1865-1877)', 'creek war, 1813-1814', 'johnson county war, 1892']",f,{'new orleans (la)': 9}
"the oregon trail : from independence, missouri, to oregon city, oregon",describes the oregon trail and the pioneers who settled in the pacific northwest,a path west -- early trail pioneers -- on the trail -- trail trouble -- the end of the trail,"['overland journeys to the pacific', 'pioneers', 'frontier and pioneer life', 'frontier and pioneer life']","['overland journeys to the pacific', 'frontier and pioneer life']",f,"{'overland journeys to the pacific': 1, 'pioneers': 16, 'frontier and pioneer life': 2}"
"the overland trail : from atchison, kansas, to ft bridger, wyoming",describes the overland trail and the frontiersmen who traveled to fort bridger,the overland trail -- dangers on the way west -- the mail must get through! -- life on the trail -- the end of the trail,"['overland journeys to the pacific', 'pioneers', 'frontier and pioneer life']","['frontier and pioneer life', 'frontier and pioneer life in literature', 'cattle trails']",f,"{'overland journeys to the pacific': 4, 'pioneers': 10, 'frontier and pioneer life': 1}"
"the old spanish trail : from santa fe, new mexico to los angeles, california",describes the old spanish trail and the pioneers who settled in california,a new trail west -- connecting the paths -- traveling the trail -- the end of the trail,"['pioneers', 'frontier and pioneer life']","['frontier and pioneer life', 'overland journeys to the pacific', 'inca roads']",f,"{'pioneers': 23, 'frontier and pioneer life': 1}"
davy crockett,"describes the life and accomplishments of david crockett, the famous frontier settler, congressman, and defender of the alamo",introduction -- wild boy -- hunter and scout -- pioneer in politics -- hunting for votes -- remember the alamo -- timeline,"['pioneers', 'frontier and pioneer life', 'legislators']","['frontier and pioneer life', 'frontier and pioneer life in literature', 'mexican war, 1846-1848']",f,"{'pioneers': 19, 'frontier and pioneer life': 1, 'legislators': 97}"
westward expansion,"uses primary source materials, including letters and magazine articles of the time, to examine the exploration and conquest of the american west by explorers and settlers of european descent",the lure of the west -- conquest of native america -- manifest destiny -- the western railroads,"['frontier and pioneer life', 'indians of north america', 'indians of north america', 'manifest destiny']","['frontier and pioneer life in literature', 'frontier and pioneer life']",f,"{'frontier and pioneer life': 2, 'indians of north america': 28, 'manifest destiny': 4}"
the gold rush : california or bust!,"describes how the 1848 discovery of gold at sutter's mill, california, sparked a movement of people to california from around the country and the world",gold in the hills -- getting to the gold -- looking for gold -- coming to america for gold -- after the gold rush,"['california', 'pioneers', 'frontier and pioneer life']","['gold mines and mining', 'coal mines and mining in literature', 'silver mines and mining', 'san francisco earthquake and fire, calif, 1906']",f,"{'california': 59, 'pioneers': 25, 'frontier and pioneer life': 8}"
jacques marquette and louis jolliet : explorers of the mississippi,"a biography of the french explorers whose primary goal was to find the northwest passage, but who made their mark on history by exploring and charting the mississippi river",the great river seekers -- the colony of new france -- parallel lives come together -- rumors of a great river -- on the way to the great river -- meeting the illinois -- the power of the peace pipe -- the return voyage -- jolliet's life after the mississippi -- marquette and jolliet: their legacy,"['explorers', 'explorers']","['overland journeys to the pacific', 'voyages and travels']",f,{'explorers': 6}
the gold rush : a primary source history of the search for gold in california,"uses primary source documents, narrative, and illustrations to recount how the mid-nineteenth century california gold rush affected americans and immigrants and how it shaped history",el dorado -- timeline -- the great discovery -- gold fever -- to california by sea -- the overlanders -- life in the mines -- the lawless west,"['frontier and pioneer life', 'pioneers']","['gold mines and mining', 'frontier and pioneer life', 'frontier and pioneer life in literature', 'mexican war, 1846-1848']",f,"{'frontier and pioneer life': 2, 'pioneers': 21}"
the galveston hurricane,an account of the tragic galveston hurricane of 1900 that claimed over six thousand lives,"disaster strikes the ""queen city of the gulf"" -- a rude awakening -- survivors and victims -- honor and hope -- relief and renewal -- galveston reborn -- an american hurricane problem?","['hurricanes', 'floods']","['hurricane katrina, 2005', 'hurricane protection', 'disaster victims']",f,"{'hurricanes': 4, 'floods': 13}"
la salle : claiming the mississippi river for france,"profiles the explorer who, upon hearing rumors of the mississippi river, determined first to find it, then to claim it for france and establish french settlements from canada to the gulf of mexico",early life and first explorations -- wilderness adventures -- a river journey -- a successful trip down the mississippi river -- the final journey -- the louisiana purchase,"['explorers', 'explorers']","['louisiana', 'frontier and pioneer life', 'voyages and travels']",f,{'explorers': 9}
pioneers : life as a homesteader,details the lives of pioneers during the westward expansion of the early nineteenth century,heading west -- the homestead act -- living on the prairie -- new inventions,"['pioneers', 'pioneers', 'frontier and pioneer life']","['frontier and pioneer life', 'frontier and pioneer life in literature', ""pioneers' spouses""]",f,"{'pioneers': 5, 'frontier and pioneer life': 1}"
mayan writing in mesoamerica,"explores the development and use of written languages among the ancient mayan people, who lived in an area comprised of mexico, central america, and part of south america known as mesoamerica",mesoamerica -- mayan writing -- the four codices -- learning from mayan writing,['mayan languages'],"['inscriptions, mayan', 'mayan languages', 'maya mythology']",f,{'mayan languages': 2}
the california gold rush,"explores the phenomenon of the california gold rush, including information about the routes to california taken by hopeful miners and the fate of john sutter, owner of the land on which gold was first discovered",the magnificent discovery -- the first news -- overland to california -- by sea to california -- in the gold fields -- the fate of john sutter -- timeline,['frontier and pioneer life'],"['gold mines and mining', 'frontier and pioneer life in literature']",f,{'frontier and pioneer life': 4}
johnstown flood : the day the dam burst,"an account of the great johnstown, pennsylvania, flood of 1889, when a dam failed and over two thousand people died, making this one of the worst peacetime disasters in the history of the united states","dangerous proposition -- the dam in the mountains -- prepare for the worst -- ""the end of the world"" -- relief and recovery -- the future",['floods'],"['great fire, chicago, ill, 1871']",f,{'floods': 2}
getting away with murder : the true story of the emmett till case,"presents a true account of the murder of fourteen-year-old, emmett till, in mississippi, in 1955",the boy who triggered the civil rights movement -- kicking the hornets' nest -- the boy from chicago -- the wolf whistle -- setting the stage -- getting away with murder -- aftershocks,"['lynching', 'african americans', 'african american teenage boys', 'racism', 'trials (murder)']","['civil rights', 'civil rights movements', 'segregation and the press']",f,"{'lynching': 13, 'african americans': 160, 'african american teenage boys': 93, 'racism': 65, 'trials (murder)': 10}"
"the spanish exploration of florida : the adventures of the spanish conquistadors, including juan ponce de léon, pánfilo de narváez, alvar núnez cabeza de vaca, hernando de soto, and pedro menéñdez de avilés, in the american south","discusses the sixteenth-century exploration of florida, from the early attempts of ponce de leon, panfilo de narvaes, and hernando de soto to the successful establishment of the settlement at st augustine",a spanish survivor -- florida's first people -- the adventures of ponce de león -- the doomed expedition of narváez -- de soto and his inland journey -- st augustine: a spanish success story,"['spaniards', 'explorers', 'explorers']","['san agustín culture (colombia)', 'indians of central america', 'voyages and travels', 'overland journeys to the pacific']",f,"{'spaniards': 152, 'explorers': 24}"
"explorers of the american west : the story of the men who explored and surveyed the west, from john c freḿont to john wesley powell, clarence king, george wheeler, and f v hayden","discusses the nineteenth-century exploration of the western united states, including the adventures of george wheeler, clarence king, w v hayden, and john c fremont",exploring the colorado river -- manifest destiny -- the pathfinder and the mountain men -- the 40th parallel survey -- the last of the great explorers -- beyond discovery,"['explorers', 'explorers']","['frontier and pioneer life', 'frontier and pioneer life in literature']",f,{'explorers': 6}
"pathfinders of the american frontier : the men who opened the frontier of north america, from daniel boone and alexander mackenzie to lewis and clark and zebulon pike","profiles the men who explored america's western frontier in the eighteenth and early nineteenth centuries, including daniel boone, lewis and clark, and zebulon pike",the siege of boonesborough -- the wilderness road -- traversing the continent -- the journey of lewis and clark -- a journey to the southwest,"['pioneers', 'pioneers', 'explorers', 'explorers', 'frontier and pioneer life']","['frontier and pioneer life', 'frontier and pioneer life in literature', ""pioneers' spouses"", 'mormon pioneers']",f,"{'pioneers': 5, 'explorers': 11, 'frontier and pioneer life': 1}"
"exploration of the california coast : the adventures of juan rodríguez cabrillo, francis drake, sebastián vizcaíno, and other explorers of north america's west coast","discusses the sixteenth-century exploration of california's coast, including the adventures of such spanish explorers as cortes, juan rodríguez cabrillo, and sebastián vizcaíno, as well as englishman sir francis drake","the shores of california -- america and the arrival of the spanish -- the exploration of baja california -- cabrillo's voyage -- drake's ""nova albion"" -- the search for a safe port -- vizcaíno and beyond","['explorers', 'explorers', 'explorers']","['overland journeys to the pacific', 'anglo-spanish war, 1739-1748']",f,{'explorers': 9}
"the wilderness road, 1775","discusses colonial america's need for a route to the west, how the wilderness road developed, early explorers and settlements along its path, and the impact it had on western expansion",colonists need room -- daniel boone -- blazing the wilderness road -- moving west -- the glory days end -- the wilderness road today,"['frontier and pioneer life', 'frontier and pioneer life', 'frontier and pioneer life']","['frontier and pioneer life', 'frontier and pioneer life in literature']",f,{'frontier and pioneer life': 1}
the triangle shirtwaist fire and sweatshop reform in american history,explores the people and events connected with the 1911 fire in a new york city sewing factory that killed 146 people and led to reforms in legislation regarding workplace safety,fire in the factory -- a general strike is declared -- a city mourns -- investigations and a trial -- steps to improve working conditions,"['clothing factories', 'labor laws and legislation', 'sweatshops']","['labor movement', 'great fire, chicago, ill, 1871', 'textile workers']",f,"{'clothing factories': 5, 'labor laws and legislation': 4, 'sweatshops': 6}"
