title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
the book of lists for teens,"presents more than 300 lists about everything from music videos to video games, internet to extreme sports, and self-image to social activism","me, myself, and i -- the world out there -- relationships -- school -- that's entertainment -- facts on file","['handbooks, vade-mecums, etc']","['lists', 'popular culture', ""children's questions and answers"", ""children's encyclopedias and dictionaries""]",a,"{'handbooks, vade-mecums, etc': 98}"
facts & records : amazing achievements,"an illustrated compendium of facts about human achievements, from the development of the alphabet to the latest space probes",civilization -- culture -- science & technology -- engineering -- sports -- exploration & endurance,['curiosities and wonders'],"['technology and civilization', 'curiosities and wonders']",a,{'curiosities and wonders': 2}
humanities and pedagogy : teaching of humanities today,"contributed papers presented at the international seminar on ""teaching of humanities"", what is needed now held in 2001 at ciefl","education as a cultural process / mm agrawal -- some reflections on the crisis in the study of the humanities / s nagarajan -- the idea of 'truth' in the humanities and some of its implications for pedagogy / nigel joseph -- literature as a discipline of thought : the why of literary pedagogy / jc mahanti -- ""english agonistes"" : reflections on english in india / mohan ramanan -- critical pedagogy and global networks : re-turning english today -- teaching multimedia and the internet / bernard sharratt -- constituting the space of identification in anthropological discourse / glenn bowman","['humanities', 'humanities']","['humanities', 'science and the humanities', 'women in the humanities']",a,{'humanities': 1}
the world book student discovery encyclopedia,a general elementary encyclopedia with brief illustrated articles covering an alphabetical array of topics,1 a -- 2 b -- 3 c -- 4 d-e-f -- 5 g-h -- 6 i-j-k-l -- 7 m -- 8 n-o -- 9 p-q-r -- 10 s -- 11 t-u -- 12 v-w-x-y-z -- 13 atlas/index,"[""children's encyclopedias and dictionaries""]","['encyclopedias and dictionaries', ""children's encyclopedias and dictionaries""]",a,"{""children's encyclopedias and dictionaries"": 2}"
oxford american children's encyclopedia,presents alphabetically arranged articles in nine volumes covering a wide range of human knowledge,"1 aardvarks-canals -- 2 canary islands-elections -- 3 electricity-gymnastics -- 4 gypsies-materials -- 5 mathematics-population -- 6 porcupines-stock market -- 7 stomachs-zoos -- 8 biography : abraham-zhou enlai -- 9 index, gazetteer, and timeline of world history","[""children's encyclopedias and dictionaries""]","['natural history', 'civilization, ancient']",a,"{""children's encyclopedias and dictionaries"": 9}"
childcraft : the how and why library,"presents illustrated articles, stories, and poems, grouped thematically in fifteen volumes",v 1 poems and rhymes -- v 2 once upon a time -- v 3 art around us -- v 4 the world of animals -- v 5 the world of plants -- v 6 our earth -- v 7 the universe -- v 8 how does it happen? -- v 9 how things work -- v 10 shapes and numbers -- v 11 about you -- v 12 who we are -- v 13 see the world -- v 14 celebrate! -- v 15 guide and index,"[""children's encyclopedias and dictionaries""]","[""children's questions and answers"", 'museums and children', 'illustrated books']",a,"{""children's encyclopedias and dictionaries"": 4}"
grolier student encyclopedia,an encyclopedia of brief articles intended for use by elementary school students,"v 1 abolitionist movement--angola -- v 2 animal--baseball -- v 3 basketball--carroll, lewis -- v 4 carson, rachel--connecticut -- v 5 conquistadors--ecology -- v 6 economy--food chain -- v 7 football--harrison, william henry -- v 8 hawaii--inuit -- v 9 inventors and inventions--longitude -- v 10 louisiana--michelangelo -- v 11 michigan--native americans, eastern -- v 12 native american, northwest--olmec and toltec -- v 13 olympic games--punctuation -- v 14 pyramid--scientific instruments -- v 15 scientist--tanzania -- v 16 taste and smell--venezuela -- v 17 venus--zoology","[""children's encyclopedias and dictionaries""]","['natural history', 'curiosities and wonders', 'science and the humanities', 'geography']",a,"{""children's encyclopedias and dictionaries"": 56}"
how to hold a crocodile,"readers of all ages, especially children and teens, will have fun with this color-illustrated compendium of obscure facts and instructions presented in no particular order, there are instructions on climbing through a playing card, keeping an octopus, making a camel-dung cigarette lighter, preparing a boar's head for a feast, and teaching a bear to dance on the more practical side, there is information on performing cpr, growing bean sprouts, heating an ancient roman villa, and building a log cabin whimsical illustrations and bordered boxes make the book accessible for even the youngest readers how to hold a crocodile is an illustrated and fun-to-read guide to the practical information that is not taught in school this book is jammed full of simple instructions for many situations in life need to roast an ox? repel cavalry? tie a bow tie? all instructions are here, clear, concise, and fully illustratedthis remarkable reference book explains how to:- build a log cabin- catch a cockroach- magnetize a walnut- play the castanets- ride a dolphin- drill for oil- meet the pope- find a blind spot- become a sainthard-earned experience spanning many cultures and centuries leads to creative advice and counsel want to prevent a nail from splitting wood? simply wipe the nail on soap before hammeringthe off-beat retro artwork and text is fun and engaging how to hold a crocodile is an amazing collection of information, advice, tips, and instructions guaranteed to entertain and satisfy anyone's curiosity","how to -- make a bed -- handle a hamster -- serve port -- tell when the queen of england is at home -- keep plants happy -- race a crocodile -- thread beads easily -- make an artesian well -- teach a parrot to talk -- preserve leaves and flowers -- find a perfect number -- make the moutza sign -- play a nose flute -- take a pulse -- break a thread in a sealed bottle -- make jell-o or jelly set quickly -- name the parts of a flag -- measure a mile -- store win -- become a saint -- make a rotten pot -- pickle walnuts -- make a mummy -- leave the earth -- wear the toga -- tell a centipede from a millipede -- cut jade -- read music notation -- cut a block of ice into one! -- photogra0ph fish -- store rubber sheeting -- peel tomatoes -- play tlachtli -- keep the birds at bay -- glaze a window -- play the bagpipes -- classify boxers -- identify a diamond -- make tanning oil -- signal by semaphore -- make cottage cheese -- make a spanner or wrench smaller -- do a headstand -- keep flies away -- increase your lifting power -- get the old cat to accept a new kitten -- dry herbs -- vanquish a vampire -- stop ink smearing in the rain -- play hex -- personalize a squash -- seat an orchestra -- go for gold -- make candles last longer -- peel onions without tears -- decode morse -- tell your ass from your hinny -- read the secrets of leonardo davinci -- improve your diving -- make zabaglione -- play come and paper -- hold a pigeon -- play shove ha'penny -- stop a creaking stair -- make cawdell cup -- cure insect stings - ride a ski tow -- play dominoes -- escape from quicksand -- climb through a playing card -- name a horse's gait -- make compost -- read your palm -- bring in the boar's head -- bow japanese style -- tie packages tightly -- read boustrophedon writing -- throw a discus -- know the queen of england's swans -- tell a horse's age -- know the olympian gods -- tell a crocodile from and alligator -- draw a triangle with three right angles -- jug a hare -- play jacks -- get a carp to come when you call -- cure a hangover -- walk farther -- build a sandcastle -- measure your head for a wig -- copy a picture carved on stone -- keep a silver teapot fresh -- tell an ape from a monkey -- use the binary system -- store cheese -- play nyout -- recognize gold -- make a bouquet garni -- make a tripod -- stop rugs from slipping -- take nasty medicine -- action paint -- meassure humidity -- remove a tight ring calculate a birthday - dance the hora -- sharpen kitchen scissors -- play conkers -- tie a clove hitch -- protect your cutlery - spot an ectomorph -- have four birthdays in a year -- crown a souffle -- bottle a whole pear - medicate a cat -- prevent facial frostbite -- paint a wooden window -- crack a coconut -- bull your boots -- pass a federal law in the us -- make vichyssoise - twist wire -- signal at sea -- make a brass rubbing -- decorate eggs for easter -- tighten a loose screw -- make bird's nest soup -- clean a saucepan -- make your candle fit your candlestick -- get rid of a red nose -- measure a horse -- take a cutting -- tame a tarantula -- choose fruit trees -- prevent string tangling -- build a tipi -- keep storms away at sea -- make a potato print -- roast chestnuts -- ease toothache by acupressure -- tell a zebra from a zubra -- improvise an oil lamp - play rock, paper, scissors -- clean patent leather - make dandelion wine - recognize a vampire -- get up on water ski -- make a wormery -- make a paper fish swim -- cook in the earth -- hit a nail on the head -- make a syllabub -- play ox and geese -- care for a bonsai -- choose the appropriate glass -- hold a rabbit -- open asparagus cans -- magnetize a walnut -- discourage greenfly -- become king or queen of england -- shoot craps -- fill a garbage bag -- save on lemons -- keep paint fresh in store -- rate a river -- hunt the snark -- use chopsticks -- make egg paint -- make a compass -- color food yellow -- time a watch at sea -- teach a bear to dance -- avoid nightmares - count in roman numerals -- grow plants in a straight row - bandage a finger -- freshen up your paint box -- please a piranha -- spot the pole star -- fold a suit for packing -- make a ginger beer plant -- mix the perfect martini -- tell a nutmeg from mace -- stand for the british parliament -- do the cobra -- crystalize angelica -- signal from ground to air -- remove cigarette stains -- convert centigrade to fahrenheit (and back again) -- spot african and asian elephants -- estimate tea and coffee for a party -- throw a hammer -- use your refrigerator efficiently -- chain stitch","['handbooks, vade-mecums, etc', 'curiosities and wonders']","['zoological specimens', 'museum techniques', 'museum conservation methods', 'natural history']",a,"{'handbooks, vade-mecums, etc': 30, 'curiosities and wonders': 8}"
"1987 neptune plaza concert series collection, 1987","manuscript materials, sound recordings, photographs, and slides documenting performances of bluegrass music; music and dance from cape breton, nova scotia; afghan and iranian traditional music; steel band music; gospel music; and pan-andean music recorded live outdoors on neptune plaza in front of the thomas jefferson building, library of congress, at concerts from april through september 1987, sponsored by the american folklife center and the national council for the traditional arts","april 23: hobbs and partners (bluegrass) -- may 21: cape breton fiddlers and dancers, canada (cape breton) -- june 18: afghan and iranian traditional music -- july 16: the original trinidad and tobago steel band of washington, dc -- august 20: the southern gospel singers; mattie johnson and the stars of faith (gospel music) -- september 17: ollantay (pan-andean music)","['folk music', 'music', 'bluegrass music', 'bluegrass music', 'gospel music', 'folk music', 'folk dancing', 'tar (lute) music', 'music', 'music', 'popular music', 'popular music', 'rabab music', 'tabla music', 'steel band music', 'steel band music', 'afghans', 'african americans', 'canadians', 'caribbean americans']","['bluegrass music', 'steel band music']",a,"{'folk music': 3, 'music': 9, 'bluegrass music': 1, 'gospel music': 5, 'folk dancing': 6, 'tar (lute) music': 8, 'popular music': 10, 'rabab music': 15, 'tabla music': 4, 'steel band music': 2, 'afghans': 60, 'african americans': 67, 'canadians': 47, 'caribbean americans': 21}"
the future without a past : the humanities in a technological society,"""argues that technological imperatives like rationalization, universalism, monism, and autonomy have transformed the humanities and altered the relation between humans and nature examines technology and its impact on education, historical memory, and technological and literary values in criticism and theory, concluding with an analysis of the fiction of don delillo""--provided by publisher","the future of the humanities in a technological society -- the great forgetting : library, media center, and las vegas -- the circle of knowledge : science and the humanistic curriculum from petrarch to trilling -- belief and sincerity -- the tranquilized poem : the crisis of the new criticism -- the disappearance of the self : contemporary theories of autobiography -- don delillo : ethnicity, religion, and the critique of technology","['humanities', 'technology and civilization', 'science and the humanities', 'humanities', 'learning and scholarship']","['digital humanities', 'science and the humanities', 'humanities']",a,"{'humanities': 3, 'technology and civilization': 4, 'science and the humanities': 2, 'learning and scholarship': 24}"
the world book encyclopedia,"""a 22-volume, highly illustrated, a-z general encyclopedia for all ages, featuring sections on how to use world book, other research aids, pronunciation key, a student guide to better writing, speaking, and research skills, and comprehensive index""--provided by publisher",v 1 a -- v 2 b -- v 3 c-ch -- v 4 ci-cz -- v 5 d -- v 6 e -- v 7 f -- v 8 g -- v 9 h -- v 10 i -- v 11 j-k -- v 12 l-- v 13 m -- v 14 n-o -- v 15 p -- v 16 q-r -- v 17 s-sn -- v 18 so-sz -- v 19 t -- v 20 u-v -- v 21 w-x-y-z -- v 22 research guide - index,['encyclopedias and dictionaries'],['encyclopedias and dictionaries'],a,{'encyclopedias and dictionaries': 1}
it's a mystery,how people attempt to solve some of the world's most puzzling mysteries,enter the world of the unexplained -- send it to forensics -- murder on ice -- fact file -- glossary -- index,"['curiosities and wonders', 'forensic science', 'stonehenge (england)', 'mary celeste (brig)']","['forensic science', 'mystery', 'curiosities and wonders', 'ghost stories']",a,"{'curiosities and wonders': 3, 'forensic science': 1, 'stonehenge (england)': 128, 'mary celeste (brig)': 110}"
dk online encyclopedia,"there is a wealth of incredible facts and images online if only we know where to look this book combines the best of a traditional encyclopedia with a dedicated web site created by google, the world's leading search engine together they guide the reader to the most amazing sites the web has to offer",how to use e-links -- space -- earth -- nature -- human body -- science and technology -- people and places -- society and beliefs -- arts and entertainment -- history,"[""children's encyclopedias and dictionaries"", 'computer network resources', 'homework']","['encyclopedias and dictionaries', 'encyclopedists', ""children's encyclopedias and dictionaries""]",a,"{""children's encyclopedias and dictionaries"": 3, 'computer network resources': 104, 'homework': 69}"
"myths, lies, and downright stupidity : get out the shovel-- why everything you know is wrong",myths and misconceptions covered in the book include: is the media unbiased? are our schools helping or hurting our kids? do singles have a better sex life than married people? do we have less free time than we used to? is outsourcing bad for american workers? suburban sprawl is ruining america; money makes people happier; the world is too crowded; we're drowning in garbage; profiteering is evil; sweatshops exploit people investigative reporter stossel takes on these issues and many more--from publisher description,clueless media -- he and she -- bashing business -- monster government -- stupid schools -- consumer cons -- the lawsuit racket -- experts for everything -- the power of belief -- our health -- perils of parenting -- the pursuit of happiness,"['common fallacies', 'quality of life', 'social problems']","['american essays', 'common fallacies', 'knowledge, sociology of']",a,"{'common fallacies': 2, 'quality of life': 150, 'social problems': 11}"
the world book encyclopedia of people and places,"""alphabetically arranged set presents profile of individual nations and other political/geographic units including overview of history, geography, economy, people, culture, and government for each includes cumulative index and web site resources""--provided by publisher",v 1 a-c -- v 2 d-h -- v 3 i-l -- v 4 m-r -- v 5 s-t -- v 6 u-z / index v 1 afghanistan to czech republic -- v 2 denmark to hungary -- v 3 iceland to luxembourg -- v 4 macedonia to rwanda -- v 5 saint kitts and nevis to tuvalu -- v 6 uganda to zimbabwe / index,"['encyclopedias and dictionaries', 'geography']","['geography', 'international relations and culture', 'unesco']",a,"{'encyclopedias and dictionaries': 24, 'geography': 1}"
collecting and the internet : essays on the pursuit of old passions through new technologies,"""the internet has had a profound effect on collecting--because of the web, collectibles are now more readily available, collections more easily displayed for a wider audience, and collectors' online communities are larger and often quite intimate in this work, essays discuss the age-old habit of collecting and its modern relationship with the internet""--provided by publisher","collecting the internet : how individually authored websites have generated nostalgia and a desire to collect the internet / kelley c smith feranec -- collecting materials born digital / marilyn a dunn -- collecting watches on the internet / dennis mills -- collecting eyewear on ebay / jeffrey kessler -- the konnection of the kelly kollection : kelly doll collectors and the internet / jo ann kelly graham -- gambler's rush : all that glitters, etc / julia penelope -- on collecting ""la vie en rose"" / terry evers -- i want my mp3s : music collecting in the digital age / annelise sklar -- trading online objects on friendstercom : cyber collecting as socialization / carson metzger -- tales from the thrift : thrift-shopping enthusiasts tell their stories online / alison franks -- the venus of willendorf project / brenda oelbaum -- grandmom's collection / elana c hurwitz -- being collected : selling art on the internet / harold smith -- the past is always on sale : revisiting culture as commodity : internet auctions and judaica collecting / emily alice katz -- online museums, exhibits, and archives of american disability history / penny l richards -- online therapy, obsession, and entertainment : adventures in the international cyber bazaar / susan koppelman","['collectors and collecting', 'collectors and collecting', 'collectibles', 'selling', 'internet auctions', 'electronic commerce', 'computer networks']","['collectors and collecting', 'collectibles']",a,"{'collectors and collecting': 1, 'collectibles': 2, 'selling': 51, 'internet auctions': 7, 'electronic commerce': 11, 'computer networks': 94}"
signs & symbols,"from simple shapes and colors to gods, mythical beasts, sacred rituals, and global branding, over 2,000 signs and symbols are explained through text, illustrations, and photography grouped thematically and comprehensively cross-referenced includes the physical world, animals, plants, humans, colors, shapes, patterns, numbers, picture writing, alphabets, international signs, professional signs, brands and logos, heraldic emblems, national flags, sign languages and signals, and symbolic gestures",the cosmos -- natural world -- human life -- myths & religions -- society & culture -- symbol systems,"['signs and symbols', 'signs and symbols', 'signs and symbols']","['signs and symbols', 'cultural property', 'communication in museums']",a,{'signs and symbols': 1}
one million things : a visual encyclopedia,"featuring gorgeous photographs that illustrate and educate, this visual encyclopedia is jam-packed with thousands and thousands of images that bring more than one million things to light",nature -- human body -- science and technology -- space -- earth -- people and places -- history -- art and culture -- reference,"[""children's encyclopedias and dictionaries"", 'curiosities and wonders', 'space', 'science', 'technology', 'art']","['curiosities and wonders', 'cabinets of curiosities', 'museums']",a,"{""children's encyclopedias and dictionaries"": 11, 'curiosities and wonders': 1, 'space': 27, 'science': 22, 'technology': 32, 'art': 8}"
"ripley's believe it or not! [6], seeing is believing","this all new 6th title in the best selling ripleys believe it or not! annual series, is a compendium of incredible bizarre facts, stories, interviews and features all presented in a stunning bright new design",strange but true -- extreme earth -- incredible feats -- unusual customs -- crazy creatures -- travel tales -- fantastic food -- body oddity -- strange sites -- artistic license -- amazing science -- beyond belief,['curiosities and wonders'],"['curiosities and wonders', 'natural history museums', 'museum exhibits']",a,{'curiosities and wonders': 1}
nomenclature 30 for museum cataloging,"""nomenclature 30 is a much-expanded edition of robert g chenhall's system for classifying man-made objects, originally published in 1978 the chenhall system is the standard cataloging tool for thousands of museums and historical organizations across the united states and canada in this third edition, three new hierarchical levels of terms allow for more precise definitions of objects and their functions every classification and object term has been reviewed and revised as needed by a professional task force appointed by the american association for state and local history""--publisher's description",built environment artifacts -- furnishings -- personal artifacts -- tools & equipment for materials -- tools & equipment for science & technology -- tools & equipment for communication -- distribution & transportation artifacts -- communication artifacts -- recreational artifacts -- unclassifiable artifacts,['museum registration methods'],"['museum conservation methods', 'museum techniques', 'museum storage facilities']",a,{'museum registration methods': 6}
the etymologies of isidore of seville,"""this work is the first complete english translation of the latin etymologies of isidore, bishop of seville (c560-636) isidore compiled the work between c615 and the early 630s and it takes the form of an encyclopedia, arranged by subject matter it contains much lore of the late classical world beginning with the seven liberal arts, including rhetoric, and touches on thousands of topics ranging from the names of god, the terminology of the law, the technologies of fabrics, ships and agriculture to the names of cities and rivers, the theatrical arts, and cooking utensils isidore provides etymologies for most of the terms he explains, finding in the causes of words the underlying key to their meaning this book offers a highly readable translation of the twenty books of the etymologies, one of the most widely known texts for a thousand years from isidore's time""--provided by publisher","machine generated contents note: introduction; correspondence of isidore and braulio; the etymologies: i: grammar and its parts; ii rhetoric and dialectic; iii mathematics, whose parts are arithmetic, music, geometry, and astronomy; iv medicine; v laws and the instruments of the judiciary, and chronology; vi the order of scripture, cycles and canons, liturgical feasts and offices; vii gods and angels, prophetic nomenclature, names of the holy fathers, martyrs, clerics, monks, and other names; viii church and synagogue, religion and faith, heresies, philosophers, poets, sibyls, magicians, pagans, gods of the gentiles; ix languages of the nations, royal, military, and civic terminology, family relationships; x certain terms in alphabetical order; xi human beings and their parts, the ages of humans, portents and metamorphoses; xii four-footed animals, creeping animals, fish, and flying animals; xiii elements, that is, the heavens and the air, waters, the sea, rivers and floods; xiv earth, paradise, the regions of the whole globe, islands, mountains, other terms for places, and the lower regions of the earth; xv cities, urban and rural buildings, fields, boundaries and measures of fields, roads; xvi earthly materials from land and water, every kind of gem and precious stones, ivory likewise, treated along with marble, glass, all the metals, weights and measures; xvii agriculture, crops of every kind, vines and trees of every kind, herbs and all vegetables; xviii wars and triumphs and the instruments of war, the forum, spectacles, games of chance and ball games; xix ships, ropes, and nets, iron workers, the construction of walls and all the implements of building, also wool-working, ornaments, and all kinds of clothing; xx tables, foodstuffs, drink, and their vessels, vessels for wine, water, and oil, vessels of cooks, bakers, and lamps, beds, chairs, vehicles, rural and garden implements, equestrian equipment","['encyclopedias and dictionaries', 'latin language', 'didactic literature, latin (medieval and modern)']","['civilization, medieval', 'didactic literature, latin (medieval and modern)']",a,"{'encyclopedias and dictionaries': 5, 'latin language': 3, 'didactic literature, latin (medieval and modern)': 2}"
mrm5 : museum registration methods,"rewritten, expanded and fully updated, mrm5 encompasses all that needs to be known and done when a museum accessions, measures, marks, moves, and displays or stores an object/artifact of any kind mrm5 includes expert advice from more than 60 acknowledged leaders in their disciplines new with the 5th edition are special teaching sections that challenge students and seasoned staff alike with questions about the process and procedures of accessioning and caring for objects",the profession -- policies -- the basics -- records management -- collections management -- risk management -- ethical and legal issues -- appendix of registration forms,"['museum registration methods', 'museums']","['museum registration methods', 'museum conservation methods', 'museum techniques', 'museum finance', 'communication in museums']",a,"{'museum registration methods': 1, 'museums': 7}"
crop circles,"""engaging images accompany information about crop circles the combination of high-interest subject matter and light text is intended for students in grades 3 through 7""--provided by publisher",the julia set -- what are crop circles? -- searching for answers,['crop circles'],"['crop circles', 'plants', 'curiosities and wonders', 'illustrated books', 'science']",a,{'crop circles': 1}
lives and letters,"spotlights the works, careers, intimate lives, and lasting achievements of a vast array of celebrated writers and performers in film, theater, and dance, along with some of the more curious iconic public figures of our times--the british royal family, a notorious gigolo, a puzzling criminal mind","lives tallulah bankhead -- sarah bernhardt -- bruno bettelheim -- bing crosby -- serge diaghilev -- minou drouet -- isadora duncan -- eleonora duse -- douglas fairbanks -- margot fonteyn -- judy garland -- lillian gish -- francine du plessix gray -- katharine hepburn -- harry houdini -- joseph jefferson -- elia kazan -- the mitfords -- scott peterson -- the royals -- porfirio rubirosa -- diana vreeland -- mae west -- the windsors -- anna may wong -- letters who was charles dickens? -- the years with thurber -- the house that gershwin built -- max and marjorie -- becky in the movies -- parsing the thirties -- analyze that: hd, bryher, and freud -- astaire to zopy-zopy -- fast-talking dames -- the hitmaker: george s kaufman -- the storyteller: rudyard kipling -- lit-flicks -- the case of john steinbeck -- white house whodunits -- scrutiny bound -- coda personally speaking: am i judith krantz? -- my new york city ballet -- ms adler, the new yorker, and me","['persons', 'celebrities']","['women in the humanities', 'celebrities', 'popular culture', 'american essays', 'canadian literature']",a,"{'persons': 63, 'celebrities': 2}"
journeys,"essays describing meanderings that range from author's backyard to canada and australia, from the remnant of a salt water farm to fly-specked dinners, from running half-marathons to dozing through a hernia operation",going nowhere -- on the wine dark road -- road warrior -- re-- -- cruising -- end of summers -- looking good -- patch -- swept away -- a different kind of time -- berry time,"['voyages and travels', ""travelers' writings, american""]","['voyages and travels', ""travelers' writings, american"", 'travel', 'shipwrecks', 'canadian literature']",a,"{'voyages and travels': 1, ""travelers' writings, american"": 2}"
scholastic book of world records ultimate quiz challenge,"quizes readers with more than 350 multiple-choice questions on the subjects of food, sports, animals, entertainment, human body, statistics, science, world, and toys includes answers",food -- sports -- animals -- entertainment -- human body -- statistics -- science -- world -- toys -- answers -- index -- photo credits,"['curiosities and wonders', 'world records']","[""children's questions and answers"", 'animals', 'world records', 'science', 'cabinets of curiosities']",a,"{'curiosities and wonders': 6, 'world records': 3}"
beyond coincidence : amazing stories of coincidence and the mystery behind them,"from magic and religion to subatomic particles and probability, a look at the baffling complexities of coincidence recounts more than two hundred bizarre stories of synchronicity","[pt] 1 coincidence under the microscope -- 1 the cosmic yes! -- 2 why we love coincidence -- 3 it's a small world, coincidence and culture -- 4 it's a small universe, coincidence and science -- 5 coincidence in the dock -- 6 luck or coincidence? -- 7 does coincidence add up? -- [pt] 2 coincidence on the rampage -- 1 it's a small world -- 2 it's a too small world -- 3 fancy meeting you here -- 4 lost and found -- 5 life imitating art -- 6 timely manifestations -- 7 jinxes and curses -- 8 history repeating itself -- 9 echoes -- 10 names -- 11 parallel lives -- 12 good luck -- 13 date, numbers, and wrong numbers -- 14 psychic coincidences? -- 15 bouncing babies and golf balls -- 16 apocrypha -- the ultimate coincidence","['curiosities and wonders', 'coincidence']","['coincidence', 'apparitions', 'curiosities and wonders', 'ghosts', 'ghost stories']",a,"{'curiosities and wonders': 3, 'coincidence': 1}"
the children's museum,"""this book serves both as a picture book and a guide book for the children's museum""--frontispiece","museum guide -- the footprints of humankind -- housing - a warm home, life's nest -- agriculture - farming and rice-growing tools -- war - weapons and warriors -- music - the sounds of heart and soul -- traces of national culture - chronological table of korean history","[""children's museums""]","['museums and children', ""children's museums"", 'museums and community', 'museum exhibits', 'museum techniques']",a,"{""children's museums"": 2}"
"listversecom's ultimate book of bizarre lists : fascinating facts and shocking trivia on movies, music, crime, celebrities, history and more","features lists that cover a broad range of subjects including bizarre births, weird jobs, crazy diets, strange phobias, historical oddities, religious scandals, ridiculous criminal acts, and weird superstitions",life and death -- work and play -- between the sheets -- food and drink -- days gone by -- fact and fiction -- heaven and hell -- science and nature -- entertainment -- around the world -- sports -- miscellaneous,['curiosities and wonders'],"['curiosities and wonders', 'popular culture', 'coincidence', 'cabinets of curiosities', 'celebrities']",a,{'curiosities and wonders': 1}
